time,open,high,low,close,RSI_7,RSI_14
03-05-23,1.10608,1.10917,1.0986,1.10132,52.71113173,55.62928961
04-05-23,1.10132,1.10479,1.09667,1.10188,53.75947139,56.06743568
07-05-23,1.10188,1.10538,1.10001,1.1004,50.31990728,54.5347461
08-05-23,1.1004,1.10054,1.09411,1.09605,41.26635763,50.19176255
09-05-23,1.09605,1.1007,1.09416,1.09834,47.11075138,52.34339885
10-05-23,1.09834,1.09982,1.09002,1.09158,35.08665388,46.02307645
11-05-23,1.09158,1.09356,1.0848,1.08498,27.18376191,40.83833331
14-05-23,1.08498,1.0891,1.08457,1.08745,33.70355948,43.40781633
15-05-23,1.08745,1.09048,1.0855,1.0862,32.0112923,42.40410011
16-05-23,1.0862,1.08738,1.08102,1.0839,28.89666882,40.54630916
17-05-23,1.0839,1.08482,1.07625,1.07712,21.65161908,35.59555561
18-05-23,1.07712,1.08289,1.076,1.08062,31.93020095,39.68944707
21-05-23,1.08062,1.08313,1.07955,1.0813,33.89590968,40.48103904
22-05-23,1.0813,1.08206,1.07602,1.07707,28.02295253,37.20932042
23-05-23,1.07707,1.08014,1.07481,1.07494,25.43407498,35.64699625
24-05-23,1.07494,1.07569,1.07072,1.0725,22.63889454,33.89147999
25-05-23,1.0725,1.07588,1.07018,1.07252,22.72011161,33.92020601
28-05-23,1.07252,1.07436,1.07055,1.07091,20.68100903,32.68881014
29-05-23,1.07091,1.07467,1.06725,1.07342,31.81194206,36.55572137
30-05-23,1.07342,1.07358,1.06352,1.06888,24.54377797,32.87670261
31-05-23,1.06888,1.07685,1.06618,1.07622,47.26824708,42.88483359
01-06-23,1.07622,1.0779,1.07052,1.07078,37.50244531,38.32405795
04-06-23,1.07078,1.07224,1.06746,1.07119,38.61754679,38.85188024
05-06-23,1.07119,1.07329,1.0667,1.06922,35.10626888,37.20435248
06-06-23,1.06922,1.07398,1.06684,1.06985,37.23546636,38.1082362
07-06-23,1.06985,1.07872,1.0696,1.07828,58.49479596,48.74056796
08-06-23,1.07828,1.07854,1.0743,1.07496,50.61724751,45.43048964
11-06-23,1.07496,1.07902,1.07331,1.0758,52.50527043,46.42191664
12-06-23,1.0758,1.08237,1.07554,1.07933,60.00259039,50.49254446
13-06-23,1.07933,1.08644,1.0774,1.08316,66.6637294,54.52914773
14-06-23,1.08316,1.09527,1.08038,1.09455,78.87186838,63.94432886
15-06-23,1.09455,1.09708,1.09178,1.09416,77.73467348,63.45979978
18-06-23,1.09416,1.09463,1.09072,1.0921,71.3914719,60.83753396
19-06-23,1.0921,1.09462,1.08922,1.09179,70.3831397,60.4328368
20-06-23,1.09179,1.09908,1.09058,1.09866,78.30542232,65.85384524
21-06-23,1.09866,1.1012,1.09485,1.09558,68.6943256,61.76795183
22-06-23,1.09558,1.09594,1.08444,1.0896,53.75052459,54.67495915
25-06-23,1.0896,1.09202,1.08874,1.0905,55.45211646,55.50313345
26-06-23,1.0905,1.09766,1.0902,1.09608,64.81559606,60.34147453
27-06-23,1.09608,1.0963,1.08968,1.09128,53.52491784,54.81950642
28-06-23,1.09128,1.09414,1.08603,1.08644,44.42184501,49.86435438
29-06-23,1.08644,1.09318,1.08354,1.0911,53.33636424,54.16057218
02-07-23,1.0911,1.09341,1.08704,1.09144,53.96488956,54.46715102
03-07-23,1.09144,1.09165,1.08768,1.0878,46.1935666,50.56786773
04-07-23,1.0878,1.0908,1.0851,1.08534,41.48337804,48.06357766
05-07-23,1.08534,1.09006,1.08336,1.08921,50.70813075,52.08382415
06-07-23,1.08921,1.09733,1.0867,1.09688,63.87571119,58.87782787
09-07-23,1.09688,1.10016,1.09436,1.10012,68.07826785,61.36959376
10-07-23,1.10012,1.10274,1.09769,1.10087,69.05063234,61.9444381
11-07-23,1.10087,1.11405,1.10034,1.11316,80.44081699,69.85939071
12-07-23,1.11316,1.1228,1.11281,1.12264,85.30703593,74.29966765
13-07-23,1.12264,1.12451,1.12041,1.12274,85.3518858,74.34260615
16-07-23,1.12274,1.1249,1.12033,1.12398,85.97137709,74.90254958
17-07-23,1.12398,1.12757,1.12092,1.12284,82.24084313,73.31834197
18-07-23,1.12284,1.12402,1.11744,1.12027,73.81633326,69.73742417
19-07-23,1.12027,1.12292,1.11185,1.11298,55.12800158,60.68359844
20-07-23,1.11298,1.1145,1.11078,1.11256,54.20557758,60.19869003
23-07-23,1.11256,1.1147,1.10603,1.10648,42.26253532,53.53021747
24-07-23,1.10648,1.1087,1.10208,1.1055,40.58115975,52.52032778
25-07-23,1.1055,1.1107,1.10378,1.10862,48.23102923,55.40486167
26-07-23,1.10862,1.11498,1.0966,1.09762,31.53262774,45.02008778
27-07-23,1.09762,1.10475,1.09436,1.10171,40.47271677,48.85838757
30-07-23,1.10171,1.10459,1.09936,1.09978,37.75844649,47.18440096
31-07-23,1.09978,1.10031,1.09524,1.09848,35.86813918,46.04015251
01-08-23,1.09848,1.10206,1.09179,1.09389,29.7359419,42.15322281
02-08-23,1.09389,1.09629,1.09122,1.09498,32.91356642,43.37578407
03-08-23,1.09498,1.1042,1.09352,1.10096,47.97329506,49.66145305
06-08-23,1.10096,1.10206,1.09654,1.10027,46.56612296,48.98575648
07-08-23,1.10027,1.10113,1.0929,1.09565,37.88534593,44.60918388
08-08-23,1.09565,1.09956,1.09518,1.09736,42.51298228,46.51395849
09-08-23,1.09736,1.10652,1.09674,1.09806,44.48813065,47.31268574
10-08-23,1.09806,1.10051,1.0943,1.09468,37.27375793,43.9034281
13-08-23,1.09468,1.09604,1.08748,1.09072,30.5108433,40.24451506
14-08-23,1.09072,1.09524,1.08968,1.09044,30.06091577,39.99073321
15-08-23,1.09044,1.09347,1.08716,1.08792,26.03041711,37.68729777
16-08-23,1.08792,1.09186,1.08566,1.08723,24.96131455,37.05789214
17-08-23,1.08723,1.0894,1.0845,1.08727,25.1691772,37.12344927
20-08-23,1.08727,1.09138,1.08697,1.08957,36.89559911,40.93301908
21-08-23,1.08957,1.09304,1.0833,1.08461,26.46244549,35.88380036
22-08-23,1.08461,1.08715,1.08024,1.08629,33.85374331,38.64448197
23-08-23,1.08629,1.08768,1.0805,1.08102,24.74977256,33.73717446
24-08-23,1.08102,1.08418,1.07658,1.07944,22.62189605,32.40841982
27-08-23,1.07944,1.08224,1.07934,1.0819,33.07381613,36.5955687
28-08-23,1.0819,1.0892,1.07823,1.08788,51.6108072,45.44317257
29-08-23,1.08788,1.09456,1.08552,1.09234,61.00801774,50.94159202
30-08-23,1.09234,1.09398,1.08351,1.08434,43.37888689,42.6402499
31-08-23,1.08434,1.08822,1.07721,1.07752,33.69498412,37.09112082
03-09-23,1.07752,1.0809,1.07716,1.07966,38.70429782,39.74108776
04-09-23,1.07966,1.07985,1.07065,1.07217,29.57927105,34.29578551
